,Date,Score Type,Visitor Team,VisitorPts,Home Team,HomePts,OT?,Notes
135,7:00 PM,Box Score,Miami Heat,97,Charlotte Bobcats,81,,
136,8:00 PM,Box Score,Indiana Pacers,94,Chicago Bulls,110,,
137,10:30 PM,Box Score,Utah Jazz,88,Golden State Warriors,102,,
138,8:00 PM,Box Score,Denver Nuggets,111,Houston Rockets,122,,
139,10:30 PM,Box Score,Brooklyn Nets,103,Los Angeles Clippers,110,,
140,8:30 PM,Box Score,Oklahoma City Thunder,92,Milwaukee Bucks,79,,
141,8:00 PM,Box Score,Boston Celtics,88,Minnesota Timberwolves,106,,
142,8:00 PM,Box Score,Philadelphia 76ers,98,New Orleans Pelicans,135,,
143,7:30 PM,Box Score,Atlanta Hawks,110,New York Knicks,90,,
144,7:00 PM,Box Score,Dallas Mavericks,108,Orlando Magic,100,,
145,7:00 PM,Box Score,Cleveland Cavaliers,103,Washington Wizards,96,OT,
146,9:30 PM,Box Score,Detroit Pistons,99,Los Angeles Lakers,114,,
147,6:00 PM,Box Score,Memphis Grizzlies,97,Sacramento Kings,86,,
148,1:00 PM,Box Score,Portland Trail Blazers,118,Toronto Raptors,110,OT,
149,7:30 PM,Box Score,Portland Trail Blazers,108,Brooklyn Nets,98,,
150,8:00 PM,Box Score,Charlotte Bobcats,81,Chicago Bulls,86,,
151,8:30 PM,Box Score,Philadelphia 76ers,94,Dallas Mavericks,97,,
152,10:30 PM,Box Score,Memphis Grizzlies,106,Los Angeles Clippers,102,,
153,8:00 PM,Box Score,Denver Nuggets,113,Oklahoma City Thunder,115,,
154,9:00 PM,Box Score,Golden State Warriors,98,Utah Jazz,87,,
155,7:30 PM,Box Score,New York Knicks,86,Detroit Pistons,92,,
156,8:00 PM,Box Score,Boston Celtics,85,Houston Rockets,109,,
157,7:30 PM,Box Score,Atlanta Hawks,88,Miami Heat,104,,
158,10:00 PM,Box Score,Phoenix Suns,104,Sacramento Kings,107,,
159,7:00 PM,Box Score,Minnesota Timberwolves,100,Washington Wizards,104,,
160,7:30 PM,Box Score,Detroit Pistons,85,Atlanta Hawks,93,,
161,7:00 PM,Box Score,Brooklyn Nets,91,Charlotte Bobcats,95,,
162,7:00 PM,Box Score,Washington Wizards,98,Cleveland Cavaliers,91,,
163,9:30 PM,Box Score,Houston Rockets,120,Dallas Mavericks,123,,
164,10:30 PM,Box Score,Memphis Grizzlies,88,Golden State Warriors,81,OT,
165,8:00 PM,Box Score,Portland Trail Blazers,91,Milwaukee Bucks,82,,
166,8:00 PM,Box Score,Los Angeles Clippers,102,Minnesota Timberwolves,98,,
167,8:00 PM,Box Score,Utah Jazz,98,New Orleans Pelicans,105,,
168,7:00 PM,Box Score,Indiana Pacers,103,New York Knicks,96,OT,
169,7:00 PM,Box Score,Miami Heat,120,Orlando Magic,92,,
170,7:00 PM,Box Score,Toronto Raptors,108,Philadelphia 76ers,98,,
171,9:00 PM,Box Score,Sacramento Kings,113,Phoenix Suns,106,,
172,8:30 PM,Box Score,Boston Celtics,93,San Antonio Spurs,104,,
173,10:30 PM,Box Score,Chicago Bulls,87,Denver Nuggets,97,,
174,8:00 PM,Box Score,Los Angeles Clippers,91,Oklahoma City Thunder,105,,
175,7:30 PM,Box Score,Indiana Pacers,97,Boston Celtics,82,,
176,7:00 PM,Box Score,Phoenix Suns,98,Charlotte Bobcats,91,,
177,8:30 PM,Box Score,Utah Jazz,93,Dallas Mavericks,103,,
178,7:30 PM,Box Score,Atlanta Hawks,96,Detroit Pistons,89,,
179,10:30 PM,Box Score,Golden State Warriors,95,Los Angeles Lakers,102,,
180,8:00 PM,Box Score,San Antonio Spurs,102,Memphis Grizzlies,86,,
181,8:00 PM,Box Score,Brooklyn Nets,81,Minnesota Timberwolves,111,,
182,8:00 PM,Box Score,Cleveland Cavaliers,100,New Orleans Pelicans,104,,
183,7:00 PM,Box Score,Milwaukee Bucks,107,Philadelphia 76ers,115,OT,
184,10:00 PM,Box Score,Chicago Bulls,95,Portland Trail Blazers,98,,
185,7:00 PM,Box Score,Washington Wizards,88,Toronto Raptors,96,,
186,7:30 PM,Box Score,Boston Celtics,94,Atlanta Hawks,87,,
187,9:00 PM,Box Score,Dallas Mavericks,100,Denver Nuggets,102,,
188,10:30 PM,Box Score,Portland Trail Blazers,113,Golden State Warriors,101,,
189,8:00 PM,Box Score,Minnesota Timberwolves,101,Houston Rockets,112,,
190,7:00 PM,Box Score,Philadelphia 76ers,98,Indiana Pacers,106,,
191,3:30 PM,Box Score,Sacramento Kings,102,Los Angeles Clippers,103,,
192,7:30 PM,Box Score,Orlando Magic,99,Miami Heat,101,,
193,8:30 PM,Box Score,Charlotte Bobcats,96,Milwaukee Bucks,72,,
194,8:30 PM,Box Score,Cleveland Cavaliers,96,San Antonio Spurs,126,,
195,7:00 PM,Box Score,New York Knicks,89,Washington Wizards,98,,
196,2:00 PM,Box Score,Detroit Pistons,109,Brooklyn Nets,97,,
197,3:30 PM,Box Score,Chicago Bulls,82,Los Angeles Clippers,121,,
198,9:30 PM,Box Score,Sacramento Kings,86,Los Angeles Lakers,100,,
199,7:00 PM,Box Score,Utah Jazz,73,Oklahoma City Thunder,95,,
200,6:00 PM,Box Score,Phoenix Suns,104,Orlando Magic,96,,
201,7:00 PM,Box Score,Boston Celtics,96,Charlotte Bobcats,86,,
202,8:30 PM,Box Score,Denver Nuggets,110,Dallas Mavericks,96,,
203,7:30 PM,Box Score,Milwaukee Bucks,94,Detroit Pistons,113,,
204,7:00 PM,Box Score,Minnesota Timberwolves,84,Indiana Pacers,98,,
205,8:00 PM,Box Score,Houston Rockets,93,Memphis Grizzlies,86,,
206,7:30 PM,Box Score,Phoenix Suns,92,Miami Heat,107,,
207,10:00 PM,Box Score,New York Knicks,91,Portland Trail Blazers,102,,
208,8:30 PM,Box Score,New Orleans Pelicans,93,San Antonio Spurs,112,,
209,9:00 PM,Box Score,Chicago Bulls,83,Utah Jazz,89,OT,
210,7:30 PM,Box Score,Orlando Magic,109,Atlanta Hawks,92,,
211,8:00 PM,Box Score,Golden State Warriors,102,New Orleans Pelicans,101,,
212,7:00 PM,Box Score,Brooklyn Nets,102,Toronto Raptors,100,,
213,7:00 PM,Box Score,Los Angeles Lakers,111,Washington Wizards,116,,
214,7:30 PM,Box Score,Memphis Grizzlies,100,Boston Celtics,93,,
215,7:30 PM,Box Score,Los Angeles Lakers,99,Brooklyn Nets,94,,
216,7:00 PM,Box Score,Indiana Pacers,99,Charlotte Bobcats,74,,
217,7:30 PM,Box Score,Miami Heat,95,Cleveland Cavaliers,84,,
218,8:30 PM,Box Score,Golden State Warriors,99,Dallas Mavericks,103,,
219,7:30 PM,Box Score,Chicago Bulls,99,Detroit Pistons,79,,
220,8:00 PM,Box Score,Atlanta Hawks,84,Houston Rockets,113,,
221,10:30 PM,Box Score,New York Knicks,80,Los Angeles Clippers,93,,
222,8:00 PM,Box Score,Washington Wizards,100,Milwaukee Bucks,92,OT,
223,8:00 PM,Box Score,Denver Nuggets,117,Minnesota Timberwolves,110,,
224,8:00 PM,Box Score,San Antonio Spurs,88,Oklahoma City Thunder,94,,
225,7:00 PM,Box Score,Philadelphia 76ers,94,Orlando Magic,105,,
226,9:00 PM,Box Score,Portland Trail Blazers,106,Phoenix Suns,120,,
227,7:30 PM,Box Score,Dallas Mavericks,87,Atlanta Hawks,88,,
228,7:30 PM,Box Score,Cleveland Cavaliers,86,Boston Celtics,103,,
229,7:00 PM,Box Score,Milwaukee Bucks,76,Charlotte Bobcats,92,,
230,9:00 PM,Box Score,New York Knicks,95,Denver Nuggets,97,,
231,7:30 PM,Box Score,Los Angeles Lakers,106,Detroit Pistons,102,,
232,8:00 PM,Box Score,Brooklyn Nets,95,Houston Rockets,114,,
233,8:00 PM,Box Score,Washington Wizards,73,Indiana Pacers,93,,
234,8:00 PM,Box Score,Golden State Warriors,112,Oklahoma City Thunder,113,OT,
235,7:00 PM,Box Score,San Antonio Spurs,109,Orlando Magic,91,,
236,8:00 PM,Box Score,New Orleans Pelicans,121,Philadelphia 76ers,105,,
237,10:00 PM,Box Score,Los Angeles Clippers,104,Sacramento Kings,98,OT,
238,7:00 PM,Box Score,Miami Heat,90,Toronto Raptors,83,,
239,9:00 PM,Box Score,Phoenix Suns,112,Utah Jazz,101,,
240,7:30 PM,Box Score,Chicago Bulls,93,Cleveland Cavaliers,97,,
241,8:30 PM,Box Score,Minnesota Timberwolves,112,Dallas Mavericks,106,,
242,8:00 PM,Box Score,Brooklyn Nets,97,Memphis Grizzlies,88,,
243,9:00 PM,Box Score,Boston Celtics,85,Milwaukee Bucks,92,,
244,9:00 PM,Box Score,Utah Jazz,112,Phoenix Suns,104,,
245,8:30 PM,Box Score,Houston Rockets,112,San Antonio Spurs,106,,
246,7:00 PM,Box Score,Atlanta Hawks,101,Washington Wizards,108,,
247,3:30 PM,Box Score,Philadelphia 76ers,100,Detroit Pistons,115,,
248,3:30 PM,Box Score,Indiana Pacers,105,Los Angeles Clippers,100,,
249,9:30 PM,Box Score,Portland Trail Blazers,114,Los Angeles Lakers,108,,
250,6:00 PM,Box Score,Charlotte Bobcats,98,Miami Heat,99,,
251,7:30 PM,Box Score,New Orleans Pelicans,103,New York Knicks,99,,
252,7:00 PM,Box Score,Minnesota Timberwolves,103,Oklahoma City Thunder,113,,
253,6:00 PM,Box Score,Golden State Warriors,115,Sacramento Kings,113,,
254,1:00 PM,Box Score,Denver Nuggets,112,Toronto Raptors,98,,
255,8:00 PM,Box Score,New Orleans Pelicans,131,Chicago Bulls,128,3OT,
256,10:00 PM,Box Score,Indiana Pacers,102,Portland Trail Blazers,106,,
257,8:30 PM,Box Score,Atlanta Hawks,100,San Antonio Spurs,102,,
258,9:00 PM,Box Score,Houston Rockets,103,Utah Jazz,109,,
259,7:00 PM,Box Score,Orlando Magic,80,Washington Wizards,98,,
260,7:30 PM,Box Score,Milwaukee Bucks,100,Boston Celtics,108,,
261,7:30 PM,Box Score,Denver Nuggets,111,Brooklyn Nets,87,,
262,8:30 PM,Box Score,Charlotte Bobcats,82,Dallas Mavericks,89,,
263,10:30 PM,Box Score,Toronto Raptors,103,Golden State Warriors,112,,
264,8:00 PM,Box Score,Phoenix Suns,91,Memphis Grizzlies,110,,
265,7:30 PM,Box Score,Detroit Pistons,107,Miami Heat,97,,
266,7:00 PM,Box Score,Orlando Magic,125,Philadelphia 76ers,126,2OT,
267,10:00 PM,Box Score,Oklahoma City Thunder,97,Sacramento Kings,95,,
268,7:30 PM,Box Score,Los Angeles Clippers,97,Atlanta Hawks,107,,
269,7:00 PM,Box Score,Denver Nuggets,88,Cleveland Cavaliers,98,,
270,8:00 PM,Box Score,Phoenix Suns,97,Houston Rockets,88,,
271,8:00 PM,Box Score,Detroit Pistons,105,Milwaukee Bucks,98,,
272,8:00 PM,Box Score,Dallas Mavericks,100,New Orleans Pelicans,97,,
273,10:00 PM,Box Score,Oklahoma City Thunder,104,Portland Trail Blazers,111,,
274,9:00 PM,Box Score,Indiana Pacers,95,Utah Jazz,86,,
275,7:00 PM,Box Score,New York Knicks,113,Brooklyn Nets,83,,
276,9:30 PM,Box Score,Miami Heat,87,Chicago Bulls,107,,
277,8:00 PM,Box Score,Los Angeles Clippers,101,Memphis Grizzlies,81,,
278,7:30 PM,Box Score,Cleveland Cavaliers,89,Atlanta Hawks,108,,
279,7:30 PM,Box Score,Denver Nuggets,98,Boston Celtics,106,,
280,7:00 PM,Box Score,Philadelphia 76ers,88,Charlotte Bobcats,105,,
281,8:00 PM,Box Score,Golden State Warriors,83,Houston Rockets,105,,
282,8:00 PM,Box Score,Oklahoma City Thunder,109,New Orleans Pelicans,95,,
283,7:30 PM,Box Score,Orlando Magic,83,New York Knicks,121,,
284,9:00 PM,Box Score,Toronto Raptors,97,Phoenix Suns,106,,
285,10:00 PM,Box Score,Utah Jazz,98,Portland Trail Blazers,130,,
286,10:00 PM,Box Score,Los Angeles Lakers,106,Sacramento Kings,100,,
287,7:00 PM,Box Score,Milwaukee Bucks,109,Washington Wizards,105,OT,
288,8:00 PM,Box Score,Detroit Pistons,92,Chicago Bulls,75,,
289,7:30 PM,Box Score,Los Angeles Clippers,82,Cleveland Cavaliers,88,,
290,8:00 PM,Box Score,Golden State Warriors,108,Memphis Grizzlies,82,,
291,8:30 PM,Box Score,Brooklyn Nets,90,Milwaukee Bucks,82,,
292,8:00 PM,Box Score,Miami Heat,103,Minnesota Timberwolves,82,,
293,7:00 PM,Box Score,Denver Nuggets,103,Philadelphia 76ers,92,,
294,10:00 PM,Box Score,Dallas Mavericks,108,Portland Trail Blazers,106,,
295,8:30 PM,Box Score,Indiana Pacers,111,San Antonio Spurs,100,,
296,9:00 PM,Box Score,Sacramento Kings,112,Utah Jazz,102,OT,
297,6:00 PM,Box Score,Miami Heat,110,Detroit Pistons,95,,
298,7:00 PM,Box Score,Orlando Magic,88,Houston Rockets,98,,
299,9:30 PM,Box Score,Toronto Raptors,106,Los Angeles Lakers,94,,
300,12:00 AM,Box Score,Boston Celtics,114,New York Knicks,73,,
301,7:00 PM,Box Score,Indiana Pacers,94,Oklahoma City Thunder,118,,
302,7:00 PM,Box Score,Golden State Warriors,111,Charlotte Bobcats,115,,
303,8:00 PM,Box Score,Orlando Magic,85,Memphis Grizzlies,94,,
304,7:00 PM,Box Score,Los Angeles Clippers,94,Philadelphia 76ers,83,,
305,10:00 PM,Box Score,Dallas Mavericks,97,Sacramento Kings,112,,
306,9:00 PM,Box Score,Portland Trail Blazers,105,Utah Jazz,94,,
307,7:00 PM,Box Score,Denver Nuggets,75,Washington Wizards,74,,
308,7:30 PM,Box Score,Oklahoma City Thunder,101,Atlanta Hawks,92,,
309,7:30 PM,Box Score,Boston Celtics,96,Brooklyn Nets,104,,
310,8:00 PM,Box Score,Milwaukee Bucks,78,Chicago Bulls,74,,
311,7:00 PM,Box Score,New York Knicks,94,Cleveland Cavaliers,109,,
312,7:30 PM,Box Score,Minnesota Timberwolves,121,Detroit Pistons,94,,
313,7:00 PM,Box Score,Miami Heat,84,Indiana Pacers,90,,
314,10:30 PM,Box Score,Phoenix Suns,114,Los Angeles Lakers,108,,
315,7:00 PM,Box Score,San Antonio Spurs,116,Toronto Raptors,103,,
316,7:30 PM,Box Score,Los Angeles Clippers,96,Boston Celtics,88,,
317,7:00 PM,Box Score,Orlando Magic,92,Charlotte Bobcats,83,,
318,10:30 PM,Box Score,Dallas Mavericks,93,Golden State Warriors,95,,
319,8:00 PM,Box Score,Oklahoma City Thunder,116,Memphis Grizzlies,100,,
320,8:00 PM,Box Score,San Antonio Spurs,109,Milwaukee Bucks,77,,
321,8:00 PM,Box Score,Philadelphia 76ers,99,Minnesota Timberwolves,106,,
322,8:00 PM,Box Score,Detroit Pistons,106,New Orleans Pelicans,111,OT,
323,8:00 PM,Box Score,Chicago Bulls,78,New York Knicks,83,,
324,10:00 PM,Box Score,Utah Jazz,122,Sacramento Kings,101,,
325,8:00 PM,Box Score,Los Angeles Clippers,93,Brooklyn Nets,102,,
326,10:30 PM,Box Score,Houston Rockets,104,Portland Trail Blazers,111,,
327,7:30 PM,Box Score,Washington Wizards,99,Atlanta Hawks,101,OT,
328,7:30 PM,Box Score,New York Knicks,86,Boston Celtics,90,,
329,9:00 PM,Box Score,Utah Jazz,103,Denver Nuggets,93,,
330,7:30 PM,Box Score,Brooklyn Nets,99,Detroit Pistons,103,,
331,10:30 PM,Box Score,Houston Rockets,116,Golden State Warriors,112,,
332,7:00 PM,Box Score,Charlotte Bobcats,94,Indiana Pacers,99,,
333,8:30 PM,Box Score,Chicago Bulls,91,Milwaukee Bucks,90,,
334,8:00 PM,Box Score,Memphis Grizzlies,98,New Orleans Pelicans,104,,
335,8:00 PM,Box Score,Los Angeles Lakers,97,Oklahoma City Thunder,122,,
336,7:00 PM,Box Score,Cleveland Cavaliers,109,Orlando Magic,100,,
337,9:00 PM,Box Score,Sacramento Kings,107,Phoenix Suns,116,,
338,8:30 PM,Box Score,Minnesota Timberwolves,110,San Antonio Spurs,117,,
339,7:00 PM,Box Score,Philadelphia 76ers,100,Toronto Raptors,108,,
340,7:00 PM,Box Score,Los Angeles Lakers,88,Charlotte Bobcats,85,,
341,8:00 PM,Box Score,Toronto Raptors,99,Chicago Bulls,77,,
342,8:30 PM,Box Score,Milwaukee Bucks,93,Dallas Mavericks,106,,
343,7:30 PM,Box Score,Cleveland Cavaliers,107,Miami Heat,114,,
344,7:30 PM,Box Score,Atlanta Hawks,106,New York Knicks,111,,
345,8:00 PM,Box Score,Portland Trail Blazers,139,Philadelphia 76ers,105,,
346,9:00 PM,Box Score,San Antonio Spurs,100,Utah Jazz,84,,
347,7:00 PM,Box Score,Los Angeles Clippers,113,Washington Wizards,97,,
348,8:00 PM,Box Score,New Orleans Pelicans,93,Denver Nuggets,102,,
349,6:00 PM,Box Score,Portland Trail Blazers,111,Detroit Pistons,109,OT,
350,6:00 PM,Box Score,Minnesota Timberwolves,101,Memphis Grizzlies,93,,
